名稱,北上1/南下2/雙向3,1位置,2位置,,,,,,,,,
中壢服務區,3,"25.00444369116459,121.25191281599938","25.00444369116459,121.25191281599938",,,,,,,,,
楊梅休息站,2,,"24.899914119449136,121.14660566745822",,,,,,,,,
湖口服務區,3,"24.861059110428318,121.01206390097714","24.857439882551187,121.00964711525174",,,,,,,,,
泰安服務區,3,"24.32836374707553,120.71587391112382","24.330573319455702,120.71160020117081",,,,,,,,,
西螺服務區,3,"23.78872983518844,120.47939128917838","23.788889503502933,120.47737602510274",,,,,,,,,
新營服務區,3,"23.352291234164714,120.31361130822457","23.351660833736833,120.3101780808165",,,,,,,,,
仁德服務區,3,"22.907167492491606,120.26624521534261","22.906084655770286,120.26508222508255",,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
